"","global_level","date","cases","new_cases","deaths","new_deaths","days_since_death10","days_since_case100"
"1","Global",2020-01-22,555,555,17,17,1,1
"2","Global",2020-01-23,654,99,18,1,2,2
"3","Global",2020-01-24,941,287,26,8,3,3
"4","Global",2020-01-25,1434,493,42,16,4,4
"5","Global",2020-01-26,2118,684,56,14,5,5
"6","Global",2020-01-27,2927,809,82,26,6,6
"7","Global",2020-01-28,5578,2651,131,49,7,7
"8","Global",2020-01-29,6166,588,133,2,8,8
"9","Global",2020-01-30,8234,2068,171,38,9,9
"10","Global",2020-01-31,9927,1693,213,42,10,10
"11","Global",2020-02-01,12038,2111,259,46,11,11
"12","Global",2020-02-02,16787,4749,362,103,12,12
"13","Global",2020-02-03,19887,3100,426,64,13,13
"14","Global",2020-02-04,23898,4011,492,66,14,14
"15","Global",2020-02-05,27643,3745,564,72,15,15
"16","Global",2020-02-06,30802,3159,634,70,16,16
"17","Global",2020-02-07,34395,3593,719,85,17,17
"18","Global",2020-02-08,37129,2734,806,87,18,18
"19","Global",2020-02-09,40159,3030,906,100,19,19
"20","Global",2020-02-10,42768,2609,1013,107,20,20
"21","Global",2020-02-11,44810,2042,1113,100,21,21
"22","Global",2020-02-12,45228,418,1118,5,22,22
"23","Global",2020-02-13,60381,15153,1371,253,23,23
"24","Global",2020-02-14,66908,6527,1523,152,24,24
"25","Global",2020-02-15,69050,2142,1666,143,25,25
"26","Global",2020-02-16,71234,2184,1770,104,26,26
"27","Global",2020-02-17,73269,2035,1868,98,27,27
"28","Global",2020-02-18,75151,1882,2008,140,28,28
"29","Global",2020-02-19,75651,500,2123,115,29,29
"30","Global",2020-02-20,76211,560,2248,125,30,30
"31","Global",2020-02-21,76840,629,2252,4,31,31
"32","Global",2020-02-22,78601,1761,2459,207,32,32
"33","Global",2020-02-23,78979,378,2470,11,33,33
"34","Global",2020-02-24,79543,564,2630,160,34,34
"35","Global",2020-02-25,80396,853,2710,80,35,35
"36","Global",2020-02-26,81373,977,2771,61,36,36
"37","Global",2020-02-27,82737,1364,2814,43,37,37
"38","Global",2020-02-28,84114,1377,2873,59,38,38
"39","Global",2020-02-29,86009,1895,2942,69,39,39
"40","Global",2020-03-01,88386,2377,2996,54,40,40
"41","Global",2020-03-02,90360,1974,3085,89,41,41
"42","Global",2020-03-03,92938,2578,3160,75,42,42
"43","Global",2020-03-04,95237,2299,3255,95,43,43
"44","Global",2020-03-05,98028,2791,3348,93,44,44
"45","Global",2020-03-06,101971,3943,3460,112,45,45
"46","Global",2020-03-07,106009,4038,3559,99,46,46
"47","Global",2020-03-08,109960,3951,3803,244,47,47
"48","Global",2020-03-09,113860,3900,3987,184,48,48
"49","Global",2020-03-10,118884,5024,4266,279,49,49
"50","Global",2020-03-11,126547,7663,4611,345,50,50
"51","Global",2020-03-12,132297,5750,4916,305,51,51
"52","Global",2020-03-13,146704,14407,5413,497,52,52
"53","Global",2020-03-14,157795,11091,5830,417,53,53
"54","Global",2020-03-15,168941,11146,6471,641,54,54
"55","Global",2020-03-16,183597,14656,7151,685,55,55
"56","Global",2020-03-17,199434,15837,7955,804,56,56
"57","Global",2020-03-18,219028,19594,8852,897,57,57
"58","Global",2020-03-19,246949,27921,9958,1108,58,58
"59","Global",2020-03-20,276534,29585,11436,1479,59,59
"60","Global",2020-03-21,308842,32308,13142,1710,60,60
"61","Global",2020-03-22,342255,33413,14840,1699,61,61
"62","Global",2020-03-23,384420,42165,16757,1917,62,62
"63","Global",2020-03-24,425559,41154,19027,2270,63,63
"64","Global",2020-03-25,476376,50817,21803,2776,64,64
"65","Global",2020-03-26,539336,62960,24810,3010,65,65
"66","Global",2020-03-27,603736,64400,28328,3518,66,66
"67","Global",2020-03-28,671344,67608,32007,3679,67,67
"68","Global",2020-03-29,730921,59577,35480,3473,68,68
"69","Global",2020-03-30,795560,64639,39644,4164,69,69
"70","Global",2020-03-31,871976,76416,44488,4844,70,70
"71","Global",2020-04-01,948197,76221,50042,5554,71,71
"72","Global",2020-04-02,1029598,81401,56347,6305,72,72
"73","Global",2020-04-03,1112752,83154,62332,5985,73,73
"74","Global",2020-04-04,1193128,80376,68173,5842,74,74
"75","Global",2020-04-05,1264846,71718,73194,5023,75,75
"76","Global",2020-04-06,1337518,72672,79026,5833,76,76
"77","Global",2020-04-07,1414391,76873,86928,7902,77,77
"78","Global",2020-04-08,1498166,83775,93663,6735,78,78
"79","Global",2020-04-09,1584791,86625,101285,7622,79,79
"80","Global",2020-04-10,1672449,87658,108557,7272,80,80
"81","Global",2020-04-11,1749169,76720,114625,6099,81,81
"82","Global",2020-04-12,1845951,96803,120356,5731,82,82
"83","Global",2020-04-13,1915545,69594,126103,5747,83,83
"84","Global",2020-04-14,1985472,69927,132999,6898,84,84
"85","Global",2020-04-15,2066301,80829,141311,8312,85,85
"86","Global",2020-04-16,2163013,96712,148594,7283,86,86
"87","Global",2020-04-17,2250737,87724,157484,8890,87,87
"88","Global",2020-04-18,2324083,73347,163942,6458,88,88
"89","Global",2020-04-19,2404790,80707,168525,4583,89,89
"90","Global",2020-04-20,2478129,73339,173968,5443,90,90
"91","Global",2020-04-21,2553289,75160,181120,7152,91,91
"92","Global",2020-04-22,2630185,79084,187879,6759,92,92
"93","Global",2020-04-23,2719198,89013,194729,6850,93,93
"94","Global",2020-04-24,2806138,96974,201402,6673,94,94
"95","Global",2020-04-25,2890259,84121,206980,5578,95,95
"96","Global",2020-04-26,2963206,72948,210863,3883,96,96
"97","Global",2020-04-27,3031926,68720,215510,4647,97,97
"98","Global",2020-04-28,3107209,75388,221973,6463,98,98
"99","Global",2020-04-29,3184143,79446,228736,6763,99,99
"100","Global",2020-04-30,3267936,83793,234703,5967,100,100
"101","Global",2020-05-01,3354984,87048,239879,5182,101,101
"102","Global",2020-05-02,3435571,80754,245204,5325,102,102
"103","Global",2020-05-03,3513207,77636,248657,3453,103,103
"104","Global",2020-05-04,3589284,76078,252785,4128,104,104
"105","Global",2020-05-05,3669273,79989,258655,5870,105,105
"106","Global",2020-05-06,3759295,90022,265321,6666,106,106
"107","Global",2020-05-07,3848381,90669,270729,5408,107,107
"108","Global",2020-05-08,3939898,92997,276296,5567,108,108
"109","Global",2020-05-09,4023533,83635,280562,4266,109,109
