"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"57","Afghanistan",2020-05-04,104,2894,190,90,5,397,52,2407,7.4,0.5,6.2,39,29
"103","Albania",2020-05-04,104,803,8,31,0,543,12,229,27.9,0.3,8,43,38
"142","Algeria",2020-05-04,104,4648,174,465,2,1998,62,2185,10.6,0.4,5,45,46
"259","Andorra",2020-05-04,104,750,2,45,0,499,6,206,974,2.6,267.5,44,35
"305","Angola",2020-05-04,104,35,0,2,0,11,0,22,0.1,0,0.1,0,0
"345","Antigua and Barbuda",2020-05-04,104,25,0,3,0,15,0,7,25.5,0,7.1,0,0
"397","Argentina",2020-05-04,104,4887,104,260,14,1442,88,3185,10.8,0.2,7,46,39
"430","Armenia",2020-05-04,104,2507,121,39,4,1071,36,1397,84.6,4.1,47.1,47,26
"552","Australia",2020-05-04,104,6847,25,96,1,5887,38,864,26.9,0.1,3.4,56,40
"618","Austria",2020-05-04,104,15621,24,600,2,13316,88,1705,173.5,0.3,18.9,58,44
"714","Azerbaijan",2020-05-04,104,1984,52,26,1,1480,39,478,19.6,0.5,4.7,40,25
"787","Bahrain",2020-05-04,104,3533,150,8,0,1744,26,1781,207.6,8.8,104.6,56,0
"814","Bangladesh",2020-05-04,104,10143,688,182,5,1209,146,8752,6.2,0.4,5.3,29,29
"893","Barbados",2020-05-04,104,82,0,7,0,46,2,29,28.6,0,10.1,0,0
"951","Belarus",2020-05-04,104,17489,784,103,4,3259,63,14127,185.1,8.3,149.5,36,29
"1003","Belgium",2020-05-04,104,50267,361,7924,80,12378,69,29965,433.7,3.1,258.5,60,49
"1101","Belize",2020-05-04,104,18,0,2,0,14,1,2,4.5,0,0.5,0,0
"1136","Benin",2020-05-04,104,96,6,2,0,50,8,44,0.8,0,0.4,0,0
"1204","Bhutan",2020-05-04,104,7,0,0,0,5,0,2,0.9,0,0.3,0,0
"1261","Bolivia",2020-05-04,104,1681,87,82,6,174,8,1425,14.4,0.7,12.2,35,31
"1279","Bosnia and Herzegovina",2020-05-04,104,1926,69,78,1,855,30,993,58.7,2.1,30.3,44,36
"1361","Botswana",2020-05-04,104,23,0,1,0,8,0,14,1,0,0.6,0,0
"1382","Brazil",2020-05-04,104,108620,6794,7367,316,45815,2824,55438,51.1,3.2,26.1,53,46
"1486","Brunei",2020-05-04,104,138,0,1,0,130,2,7,31.6,0,1.6,42,0
"1539","Bulgaria",2020-05-04,104,1652,34,78,5,321,13,1253,23.8,0.5,18,46,34
"1580","Burkina Faso",2020-05-04,104,672,10,46,1,545,5,81,3.2,0,0.4,42,38
"1637","Burma",2020-05-04,104,161,6,6,0,49,6,106,0.3,0,0.2,16,0
"1665","Burundi",2020-05-04,104,15,0,1,0,7,0,7,0.1,0,0.1,0,0
"1749","Cambodia",2020-05-04,104,122,0,0,0,120,0,2,0.7,0,0,37,0
